"routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","dr_fraction","dsl_fraction"
"dfm_dr","2201","0","0.05","0.0497037","10.2072","1","0"
"dfm_dr","2201","1","0.1","0.0751065","10.396","1","0"
"dfm_dr","2201","2","0.15","0.148815","11.2324","1","0"
"dfm_dr","2201","3","0.2","0.173593","13.9972","1","0"
"dfm_dr","2201","4","0.25","0.196432","30.0425","1","0"
"dfm_dr","2201","5","0.3","0.216069","80.0583","1","0"
"dfm_dr","2201","6","0.35","0.234593","162.119","1","0"
"dfm_dr","2201","7","0.4","0.252179","265.269","1","0"
"dfm_dr","2201","8","0.45","0.26962","380.405","1","0"
"dfm_dr","2201","9","0.5","0.286793","501.975","1","0"
"dfm_dr","2201","10","0.55","0.303785","626.671","1","0"
"dfm_dr","2201","11","0.6","0.320687","751.898","1","0"
"dfm_dr","2201","12","0.65","0.33728","876.535","1","0"
"dfm_dr","2201","13","0.7","0.35421","997.831","1","0"
"dfm_dr","2201","14","0.75","0.371019","1116.44","1","0"
"dfm_dr","2201","15","0.8","0.387916","1231.27","1","0"
"dfm_dr","2201","16","0.8","0.402538","1349.7","1","0"
"dfm_dr","2201","17","0.8","0.41525","1471","1","0"
"dfm_dr","2202","0","0.05","0.0489259","10.1824","1","0"
"dfm_dr","2202","1","0.1","0.0737546","10.386","1","0"
"dfm_dr","2202","2","0.15","0.150806","11.2986","1","0"
"dfm_dr","2202","3","0.2","0.175218","13.6868","1","0"
"dfm_dr","2202","4","0.25","0.196698","33.7763","1","0"
"dfm_dr","2202","5","0.3","0.216331","86.6786","1","0"
"dfm_dr","2202","6","0.35","0.234476","168.209","1","0"
"dfm_dr","2202","7","0.4","0.252179","269.666","1","0"
"dfm_dr","2202","8","0.45","0.269102","384.742","1","0"
"dfm_dr","2202","9","0.5","0.286308","505.415","1","0"
"dfm_dr","2202","10","0.55","0.303479","629.09","1","0"
"dfm_dr","2202","11","0.6","0.320339","753.77","1","0"
"dfm_dr","2202","12","0.65","0.337271","877.042","1","0"
"dfm_dr","2202","13","0.7","0.354185","998.11","1","0"
"dfm_dr","2202","14","0.75","0.371103","1116.1","1","0"
"dfm_dr","2202","15","0.8","0.387995","1230.81","1","0"
"dfm_dr","2202","16","0.8","0.40267","1348.92","1","0"
"dfm_dr","2202","17","0.8","0.415493","1469.61","1","0"
"dfm_dr","2203","0","0.05","0.0496296","10.2006","1","0"
"dfm_dr","2203","1","0.1","0.0753333","10.4116","1","0"
"dfm_dr","2203","2","0.15","0.151222","11.4512","1","0"
"dfm_dr","2203","3","0.2","0.175995","13.7028","1","0"
"dfm_dr","2203","4","0.25","0.197065","38.0395","1","0"
"dfm_dr","2203","5","0.3","0.216618","92.4207","1","0"
"dfm_dr","2203","6","0.35","0.234835","176.998","1","0"
"dfm_dr","2203","7","0.4","0.252642","280.563","1","0"
"dfm_dr","2203","8","0.45","0.270102","395.834","1","0"
"dfm_dr","2203","9","0.5","0.287398","516.972","1","0"
"dfm_dr","2203","10","0.55","0.304334","641.066","1","0"
"dfm_dr","2203","11","0.6","0.321245","765.642","1","0"
"dfm_dr","2203","12","0.65","0.338257","888.855","1","0"
"dfm_dr","2203","13","0.7","0.355099","1010.1","1","0"
"dfm_dr","2203","14","0.75","0.372049","1127.82","1","0"
"dfm_dr","2203","15","0.8","0.388802","1242.58","1","0"
"dfm_dr","2203","16","0.8","0.403264","1361.11","1","0"
"dfm_dr","2203","17","0.8","0.416009","1481.84","1","0"
"dfm_dr","2204","0","0.05","0.0501574","10.2003","1","0"
"dfm_dr","2204","1","0.1","0.0745602","10.3876","1","0"
"dfm_dr","2204","2","0.15","0.150815","11.3325","1","0"
"dfm_dr","2204","3","0.2","0.175532","13.2748","1","0"
"dfm_dr","2204","4","0.25","0.197003","32.401","1","0"
"dfm_dr","2204","5","0.3","0.216678","83.7624","1","0"
"dfm_dr","2204","6","0.35","0.234513","164.94","1","0"
"dfm_dr","2204","7","0.4","0.252619","265.623","1","0"
"dfm_dr","2204","8","0.45","0.270101","378.797","1","0"
"dfm_dr","2204","9","0.5","0.287201","499.414","1","0"
"dfm_dr","2204","10","0.55","0.304252","623.297","1","0"
"dfm_dr","2204","11","0.6","0.321264","747.686","1","0"
"dfm_dr","2204","12","0.65","0.338205","871.143","1","0"
"dfm_dr","2204","13","0.7","0.355117","992.112","1","0"
"dfm_dr","2204","14","0.75","0.371972","1110.12","1","0"
"dfm_dr","2204","15","0.8","0.38884","1224.77","1","0"
"dfm_dr","2204","16","0.8","0.40337","1343.19","1","0"
"dfm_dr","2204","17","0.8","0.416105","1464","1","0"
"dfm_dr","2205","0","0.05","0.0496944","10.183","1","0"
"dfm_dr","2205","1","0.1","0.0748009","10.3704","1","0"
"dfm_dr","2205","2","0.15","0.150231","11.3712","1","0"
"dfm_dr","2205","3","0.2","0.175731","13.8441","1","0"
"dfm_dr","2205","4","0.25","0.197","36.9615","1","0"
"dfm_dr","2205","5","0.3","0.216201","92.0737","1","0"
"dfm_dr","2205","6","0.35","0.234372","174.58","1","0"
"dfm_dr","2205","7","0.4","0.252105","276.702","1","0"
"dfm_dr","2205","8","0.45","0.269536","390.411","1","0"
"dfm_dr","2205","9","0.5","0.286606","511.207","1","0"
"dfm_dr","2205","10","0.55","0.303736","634.665","1","0"
"dfm_dr","2205","11","0.6","0.320697","758.707","1","0"
"dfm_dr","2205","12","0.65","0.337717","881.32","1","0"
"dfm_dr","2205","13","0.7","0.35475","1001.54","1","0"
"dfm_dr","2205","14","0.75","0.371533","1119.49","1","0"
"dfm_dr","2205","15","0.8","0.388239","1234.33","1","0"
"dfm_dr","2205","16","0.8","0.402899","1352.04","1","0"
