"routing","phase_index","average_load","accepted_rate_avg","avg_packet_latency_avg","dr_fraction_avg","dsl_fraction_avg"
"dfm_dr","0","0.05","0.0496222","10.1947","1","0"
"dfm_dr","1","0.1","0.0747111","10.39032","1","0"
"dfm_dr","2","0.15","0.1503778","11.33718","1","0"
"dfm_dr","3","0.2","0.1752138","13.70114","1","0"
"dfm_dr","4","0.25","0.1968396","34.24416","1","0"
"dfm_dr","5","0.3","0.2163794","86.99874","1","0"
"dfm_dr","6","0.35","0.2345578","169.3692","1","0"
"dfm_dr","7","0.4","0.2523448","271.5646","1","0"
"dfm_dr","8","0.45","0.2696922","386.0378","1","0"
"dfm_dr","9","0.5","0.2868612","506.9966","1","0"
"dfm_dr","10","0.55","0.3039172","630.9578","1","0"
"dfm_dr","11","0.6","0.3208464","755.5406","1","0"
"dfm_dr","12","0.65","0.337746","878.979","1","0"
"dfm_dr","13","0.7","0.3546722","999.9386","1","0"
"dfm_dr","14","0.75","0.3715352","1117.994","1","0"
"dfm_dr","15","0.8","0.3883584","1232.752","1","0"
"dfm_dr","16","0.8","0.4029482","1350.992","1","0"
"dfm_dr","17","0.8","0.415727","1471.73","1","0"
"dfm_dsl","0","0.05","0.0495426","15.90676","0","1"
"dfm_dsl","1","0.1","0.07461296","16.02422","0","1"
"dfm_dsl","2","0.15","0.1503112","16.22654","0","1"
"dfm_dsl","3","0.2","0.175299","16.31866","0","1"
"dfm_dsl","4","0.25","0.1999554","16.41908","0","1"
"dfm_dsl","5","0.3","0.2251604","16.52542","0","1"
"dfm_dsl","6","0.35","0.2502114","16.63372","0","1"
"dfm_dsl","7","0.4","0.2751606","16.74174","0","1"
"dfm_dsl","8","0.45","0.3000796","16.84838","0","1"
"dfm_dsl","9","0.5","0.3250534","16.95836","0","1"
"dfm_dsl","10","0.55","0.3499832","17.07202","0","1"
"dfm_dsl","11","0.6","0.374875","17.19156","0","1"
"dfm_dsl","12","0.65","0.399876","17.32464","0","1"
"dfm_dsl","13","0.7","0.4248382","17.4749","0","1"
"dfm_dsl","14","0.75","0.4498522","17.63474","0","1"
"dfm_dsl","15","0.8","0.4748664","17.80104","0","1"
"dfm_dsl","16","0.8","0.4965402","17.93122","0","1"
"dfm_dsl","17","0.8","0.5155626","18.0389","0","1"
"dfm_hybrid_dr_dsl","0","0.05","0.0496222","10.1947","1","0"
"dfm_hybrid_dr_dsl","1","0.1","0.07470924","10.46472","0.948632988","0.051367012"
"dfm_hybrid_dr_dsl","2","0.15","0.1502888","11.9805","0.6892362","0.3107638"
"dfm_hybrid_dr_dsl","3","0.2","0.1751924","13.78814","0.1660188","0.8339812"
"dfm_hybrid_dr_dsl","4","0.25","0.1998902","14.93104","0.00228780000000002","0.9977122"
"dfm_hybrid_dr_dsl","5","0.3","0.225114","15.53646","0","1"
"dfm_hybrid_dr_dsl","6","0.35","0.250178","15.9222","0","1"
"dfm_hybrid_dr_dsl","7","0.4","0.2751244","16.20068","0","1"
"dfm_hybrid_dr_dsl","8","0.45","0.3000546","16.42376","0","1"
"dfm_hybrid_dr_dsl","9","0.5","0.3250294","16.61592","0","1"
"dfm_hybrid_dr_dsl","10","0.55","0.349961","16.78888","0","1"
"dfm_hybrid_dr_dsl","11","0.6","0.3748554","16.95406","0","1"
"dfm_hybrid_dr_dsl","12","0.65","0.3998546","17.12308","0","1"
"dfm_hybrid_dr_dsl","13","0.7","0.4248204","17.3001","0","1"
"dfm_hybrid_dr_dsl","14","0.75","0.44984","17.48322","0","1"
"dfm_hybrid_dr_dsl","15","0.8","0.474852","17.67096","0","1"
"dfm_hybrid_dr_dsl","16","0.8","0.4965268","17.81758","0","1"
"dfm_hybrid_dr_dsl","17","0.8","0.5155476","17.9353","0","1"
