"model","model_title","routing","seed","average_loads","flow_peak_rate","accepted_rate","avg_packet_latency","xy_packets","racke_packets","xy_fraction","log_path"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2201","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.46143","1169.09","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_dim_order_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2202","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.461956","1100.45","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_dim_order_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2203","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.462548","1143.25","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_dim_order_s2203.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2204","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.462213","1086.99","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_dim_order_s2204.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2205","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.46202","1126.86","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_dim_order_s2205.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2201","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.439008","15.5591","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_racke_tree_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2202","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.43945","15.5557","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_racke_tree_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2203","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.44078","15.5745","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_racke_tree_s2203.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2204","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.43937","15.562","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_racke_tree_s2204.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2205","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6","0.6","0.439251","15.5693","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p6_current_defaults\logs\linear_scale_racke_tree_s2205.log"
