"model","routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","xy_fraction","racke_fraction"
"linear_scale","dim_order","2201","0","0.05","0.0481111","13.0523","1","0"
"linear_scale","dim_order","2201","1","0.1","0.0742407","13.0399","1","0"
"linear_scale","dim_order","2201","2","0.15","0.148704","13.0536","1","0"
"linear_scale","dim_order","2201","3","0.2","0.173704","13.0677","1","0"
"linear_scale","dim_order","2201","4","0.25","0.198321","13.0732","1","0"
"linear_scale","dim_order","2201","5","0.3","0.224935","13.1011","1","0"
"linear_scale","dim_order","2201","6","0.35","0.249874","13.1293","1","0"
"linear_scale","dim_order","2201","7","0.4","0.275167","13.2104","1","0"
"linear_scale","dim_order","2201","8","0.45","0.300058","13.4082","1","0"
"linear_scale","dim_order","2201","9","0.5","0.324782","16.7509","1","0"
"linear_scale","dim_order","2201","10","0.55","0.346864","30.977","1","0"
"linear_scale","dim_order","2201","11","0.6","0.367604","66.4713","1","0"
"linear_scale","dim_order","2201","12","0.65","0.387407","120.372","1","0"
"linear_scale","dim_order","2201","13","0.7","0.405787","196.918","1","0"
"linear_scale","dim_order","2201","14","0.75","0.423963","290.945","1","0"
"linear_scale","dim_order","2201","15","0.8","0.441362","401.153","1","0"
"linear_scale","dim_order","2201","16","0.8","0.456188","527.831","1","0"
"linear_scale","dim_order","2201","17","0.8","0.469477","663.298","1","0"
"linear_scale","dim_order","2202","0","0.05","0.0504815","13.0007","1","0"
"linear_scale","dim_order","2202","1","0.1","0.0742778","12.9806","1","0"
"linear_scale","dim_order","2202","2","0.15","0.149667","12.9973","1","0"
"linear_scale","dim_order","2202","3","0.2","0.176148","13.0382","1","0"
"linear_scale","dim_order","2202","4","0.25","0.200951","13.0494","1","0"
"linear_scale","dim_order","2202","5","0.3","0.22612","13.083","1","0"
"linear_scale","dim_order","2202","6","0.35","0.25063","13.1243","1","0"
"linear_scale","dim_order","2202","7","0.4","0.275623","13.1907","1","0"
"linear_scale","dim_order","2202","8","0.45","0.301048","13.3993","1","0"
"linear_scale","dim_order","2202","9","0.5","0.325208","15.2459","1","0"
"linear_scale","dim_order","2202","10","0.55","0.347658","25.1879","1","0"
"linear_scale","dim_order","2202","11","0.6","0.368474","57.0018","1","0"
"linear_scale","dim_order","2202","12","0.65","0.38834","108.32","1","0"
"linear_scale","dim_order","2202","13","0.7","0.40684","181.989","1","0"
"linear_scale","dim_order","2202","14","0.75","0.424752","274.672","1","0"
"linear_scale","dim_order","2202","15","0.8","0.441892","383.596","1","0"
"linear_scale","dim_order","2202","16","0.8","0.456928","508.084","1","0"
"linear_scale","dim_order","2202","17","0.8","0.470069","643.795","1","0"
"linear_scale","dim_order","2203","0","0.05","0.0511111","12.987","1","0"
"linear_scale","dim_order","2203","1","0.1","0.0756296","12.9868","1","0"
"linear_scale","dim_order","2203","2","0.15","0.152926","13.0223","1","0"
"linear_scale","dim_order","2203","3","0.2","0.177037","13.0779","1","0"
"linear_scale","dim_order","2203","4","0.25","0.20216","13.0926","1","0"
"linear_scale","dim_order","2203","5","0.3","0.226944","13.1273","1","0"
"linear_scale","dim_order","2203","6","0.35","0.251904","13.1607","1","0"
"linear_scale","dim_order","2203","7","0.4","0.276654","13.248","1","0"
"linear_scale","dim_order","2203","8","0.45","0.301794","13.3637","1","0"
"linear_scale","dim_order","2203","9","0.5","0.326343","14.9017","1","0"
"linear_scale","dim_order","2203","10","0.55","0.348654","26.3432","1","0"
"linear_scale","dim_order","2203","11","0.6","0.369463","56.5956","1","0"
"linear_scale","dim_order","2203","12","0.65","0.389027","108.415","1","0"
"linear_scale","dim_order","2203","13","0.7","0.407806","183.922","1","0"
"linear_scale","dim_order","2203","14","0.75","0.425675","276.577","1","0"
"linear_scale","dim_order","2203","15","0.8","0.442981","386.296","1","0"
