"model","model_title","routing","phase_index","average_load","accepted_rate_avg","avg_packet_latency_avg","xy_fraction_avg","racke_fraction_avg"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","0","0.05","0.05002222","13.00578","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","1","0.1","0.07516666","13.00242","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2","0.15","0.1504298","13.03698","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","3","0.2","0.1748444","13.05784","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","4","0.25","0.1995432","13.07808","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","5","0.3","0.2250978","13.11078","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","6","0.35","0.2502534","13.1476","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","7","0.4","0.2752556","13.22286","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","8","0.45","0.3005778","13.39722","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","9","0.5","0.3252128","15.18798","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","10","0.55","0.3475052","26.10766","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","11","0.6","0.368349","57.22822","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","12","0.65","0.3880404","109.3398","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","13","0.7","0.4066188","184.0082","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","14","0.75","0.4246172","276.7528","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","15","0.8","0.4419354","386.506","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","16","0.8","0.4567772","512.155","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","17","0.8","0.4699074","647.9186","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","0","0.05","0.05000002","14.40986","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","1","0.1","0.07514816","14.43604","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2","0.15","0.1503484","14.54764","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","3","0.2","0.1747964","14.60842","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","4","0.25","0.199504","14.67364","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","5","0.3","0.2250648","14.75422","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","6","0.35","0.2502058","14.8328","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","7","0.4","0.275231","14.91916","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","8","0.45","0.3005418","15.0168","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","9","0.5","0.325552","15.11672","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","10","0.55","0.3502418","15.2209","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","11","0.6","0.3752222","15.33452","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","12","0.65","0.4003626","15.45808","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","13","0.7","0.4252498","15.59188","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","14","0.75","0.4502826","15.75042","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","15","0.8","0.4750624","15.96412","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","16","0.8","0.4967584","16.1368","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","17","0.8","0.5155636","16.27062","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","0","0.05","0.05002222","13.00578","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","1","0.1","0.07516666","13.00242","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","2","0.15","0.1504298","13.03698","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","3","0.2","0.1748444","13.05784","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","4","0.25","0.1995432","13.07808","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","5","0.3","0.2250978","13.11078","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","6","0.35","0.2502534","13.1476","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","7","0.4","0.2752556","13.22286","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","8","0.45","0.3005778","13.39722","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","9","0.5","0.3253406","14.96162","0.9932034","0.0067966"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","10","0.55","0.3497366","20.33974","0.8389106","0.1610894"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","11","0.6","0.3747108","26.017","0.6389234","0.3610766"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","12","0.65","0.3997106","32.33116","0.469281","0.530719"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","13","0.7","0.424273","36.628","0.364589","0.635411"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","14","0.75","0.4479696","43.28626","0.2036162","0.7963838"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","15","0.8","0.4695206","59.96818","0.12126266","0.87873734"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","16","0.8","0.486898","89.72534","0.12452068","0.87547932"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","17","0.8","0.5046182","135.1526","0.09669238","0.90330762"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","0","0.05","0.04945926","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","1","0.1","0.0743","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","2","0.15","0.1495184","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","3","0.2","0.174626","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","4","0.25","0.1996248","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","5","0.3","0.2248002","11.2264","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","6","0.35","0.2495988","11.56132","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","7","0.4","0.2748038","11.91132","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","8","0.45","0.2998784","12.23936","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","9","0.5","0.3207882","26.5646","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","10","0.55","0.3387282","68.26692","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","11","0.6","0.3583054","133.6172","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","12","0.65","0.378648","209.4302","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","13","0.7","0.3998524","289.2078","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","14","0.75","0.4204096","376.1082","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","15","0.8","0.438009","475.6454","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","16","0.8","0.4531334","592.7184","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","17","0.8","0.4665284","722.696","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","0","0.05","0.04941484","13.25106","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","1","0.1","0.07426298","13.23516","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","2","0.15","0.149474","13.29578","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","3","0.2","0.1745888","13.34478","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","4","0.25","0.199585","13.46226","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","5","0.3","0.22475","13.7118","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","6","0.35","0.249548","14.03762","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","7","0.4","0.274773","14.3581","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","8","0.45","0.29984","14.65628","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","9","0.5","0.3248148","14.8861","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","10","0.55","0.349717","15.0918","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","11","0.6","0.3747332","15.2724","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","12","0.65","0.3998234","15.43794","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","13","0.7","0.4247408","15.5727","0","1"
