"model","routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","xy_fraction","racke_fraction"
"linear_scale","dim_order","2201","0","0.05","0.0481852","11.0238","1","0"
"linear_scale","dim_order","2201","1","0.1","0.0742963","11.068","1","0"
"linear_scale","dim_order","2201","2","0.15","0.148667","11.0235","1","0"
"linear_scale","dim_order","2201","3","0.2","0.173741","11.0756","1","0"
"linear_scale","dim_order","2201","4","0.25","0.198333","11.0788","1","0"
"linear_scale","dim_order","2201","5","0.3","0.224954","11.1079","1","0"
"linear_scale","dim_order","2201","6","0.35","0.249904","11.1399","1","0"
"linear_scale","dim_order","2201","7","0.4","0.275198","11.2196","1","0"
"linear_scale","dim_order","2201","8","0.45","0.300101","11.42","1","0"
"linear_scale","dim_order","2201","9","0.5","0.324986","14.2838","1","0"
"linear_scale","dim_order","2201","10","0.55","0.347465","26.0474","1","0"
"linear_scale","dim_order","2201","11","0.6","0.368193","57.4","1","0"
"linear_scale","dim_order","2201","12","0.6","0.385249","106.767","1","0"
"linear_scale","dim_order","2201","13","0.6","0.399272","168.15","1","0"
"linear_scale","dim_order","2201","14","0.6","0.411427","236.49","1","0"
"linear_scale","dim_order","2201","15","0.6","0.421619","311.907","1","0"
"linear_scale","dim_order","2202","0","0.05","0.0505185","11.0132","1","0"
"linear_scale","dim_order","2202","1","0.1","0.0742963","10.985","1","0"
"linear_scale","dim_order","2202","2","0.15","0.149741","10.9581","1","0"
"linear_scale","dim_order","2202","3","0.2","0.176204","11.0059","1","0"
"linear_scale","dim_order","2202","4","0.25","0.201012","11.0166","1","0"
"linear_scale","dim_order","2202","5","0.3","0.226176","11.0627","1","0"
"linear_scale","dim_order","2202","6","0.35","0.250652","11.1099","1","0"
"linear_scale","dim_order","2202","7","0.4","0.275691","11.1775","1","0"
"linear_scale","dim_order","2202","8","0.45","0.301042","11.3864","1","0"
"linear_scale","dim_order","2202","9","0.5","0.325338","12.2792","1","0"
"linear_scale","dim_order","2202","10","0.55","0.347708","22.7014","1","0"
"linear_scale","dim_order","2202","11","0.6","0.368837","52.6762","1","0"
"linear_scale","dim_order","2202","12","0.6","0.385667","99.8031","1","0"
"linear_scale","dim_order","2202","13","0.6","0.399679","159.575","1","0"
"linear_scale","dim_order","2202","14","0.6","0.411573","227.873","1","0"
"linear_scale","dim_order","2202","15","0.6","0.421659","303.204","1","0"
"linear_scale","dim_order","2203","0","0.05","0.0511852","10.8444","1","0"
"linear_scale","dim_order","2203","1","0.1","0.0756481","10.954","1","0"
"linear_scale","dim_order","2203","2","0.15","0.153037","11.0041","1","0"
"linear_scale","dim_order","2203","3","0.2","0.177074","11.0913","1","0"
"linear_scale","dim_order","2203","4","0.25","0.202198","11.102","1","0"
"linear_scale","dim_order","2203","5","0.3","0.226981","11.1389","1","0"
"linear_scale","dim_order","2203","6","0.35","0.251948","11.1702","1","0"
"linear_scale","dim_order","2203","7","0.4","0.276704","11.2645","1","0"
"linear_scale","dim_order","2203","8","0.45","0.301831","11.4132","1","0"
"linear_scale","dim_order","2203","9","0.5","0.326306","12.5367","1","0"
"linear_scale","dim_order","2203","10","0.55","0.348835","23.8809","1","0"
"linear_scale","dim_order","2203","11","0.6","0.36977","52.5186","1","0"
"linear_scale","dim_order","2203","12","0.6","0.386953","101.031","1","0"
"linear_scale","dim_order","2203","13","0.6","0.401167","162.141","1","0"
"linear_scale","dim_order","2203","14","0.6","0.4131","230.455","1","0"
"linear_scale","dim_order","2203","15","0.6","0.423143","306.594","1","0"
"linear_scale","racke_tree","2201","0","0.05","0.0481111","13.0677","0","1"
"linear_scale","racke_tree","2201","1","0.1","0.0742593","13.1224","0","1"
"linear_scale","racke_tree","2201","2","0.15","0.14863","13.1389","0","1"
"linear_scale","racke_tree","2201","3","0.2","0.173685","13.1946","0","1"
"linear_scale","racke_tree","2201","4","0.25","0.198321","13.2233","0","1"
"linear_scale","racke_tree","2201","5","0.3","0.224917","13.2634","0","1"
"linear_scale","racke_tree","2201","6","0.35","0.24983","13.3062","0","1"
"linear_scale","racke_tree","2201","7","0.4","0.275148","13.3652","0","1"
"linear_scale","racke_tree","2201","8","0.45","0.300069","13.4224","0","1"
"linear_scale","racke_tree","2201","9","0.5","0.32563","13.4888","0","1"
