"model","model_title","routing","phase_index","average_load","accepted_rate_avg","avg_packet_latency_avg","xy_fraction_avg","racke_fraction_avg"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","0","0.05","0.0499629666666667","10.9604666666667","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","1","0.1","0.0747469","11.0023333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2","0.15","0.150481666666667","10.9952333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","3","0.2","0.175673","11.0576","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","4","0.25","0.200514333333333","11.0658","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","5","0.3","0.226037","11.1031666666667","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","6","0.35","0.250834666666667","11.14","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","7","0.4","0.275864333333333","11.2205333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","8","0.45","0.300991333333333","11.4065333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","9","0.5","0.325543333333333","13.0332333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","10","0.55","0.348002666666667","24.2099","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","11","0.6","0.368933333333333","54.1982666666667","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","12","0.6","0.385956333333333","102.5337","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","13","0.6","0.400039333333333","163.288666666667","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","14","0.6","0.412033333333333","231.606","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","15","0.6","0.422140333333333","307.235","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","0","0.05","0.0499135666666667","13.0118333333333","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","1","0.1","0.0747160666666667","13.0665","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2","0.15","0.150457","13.1166333333333","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","3","0.2","0.175629666666667","13.1835666666667","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","4","0.25","0.200477333333333","13.2187333333333","0","1"
