"model","model_title","routing","seed","average_loads","flow_peak_rate","accepted_rate","avg_packet_latency","xy_packets","racke_packets","xy_fraction","log_path"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2201","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.470379","1373.29","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\linear_scale_dim_order_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2202","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.47038","1353.87","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\linear_scale_dim_order_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2203","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.470992","1389.18","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\linear_scale_dim_order_s2203.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2201","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.439021","13.7501","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\linear_scale_racke_tree_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2202","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.439463","13.7341","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\linear_scale_racke_tree_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2203","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.440812","13.7525","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\linear_scale_racke_tree_s2203.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","2201","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.449415","29.708","159979","27314","0.854164","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\linear_scale_hybrid_xy_racke_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","2202","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.459699","30.8116","172394","31537","0.845355","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\linear_scale_hybrid_xy_racke_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","2203","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.468388","31.0562","184776","36143","0.836397","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\linear_scale_hybrid_xy_racke_s2203.log"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","2201","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.6,0.6,0.6,0.6","0.6","0.469007","1549.51","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\p3_ramp_to_0p6_hold_current_scheme\logs\ordered_fill_dim_order_s2201.log"
