"model","routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","xy_fraction","racke_fraction"
"linear_scale","dim_order","2201","0","0.1","0.0992963","11.0533","1","0"
"linear_scale","dim_order","2201","1","0.2","0.150593","11.0948","1","0"
"linear_scale","dim_order","2201","2","0.3","0.296481","11.1294","1","0"
"linear_scale","dim_order","2201","3","0.4","0.348778","11.3109","1","0"
"linear_scale","dim_order","2201","4","0.5","0.398938","16.343","1","0"
"linear_scale","dim_order","2201","5","0.6","0.438241","48.8429","1","0"
"linear_scale","dim_order","2201","6","0.7","0.47283","129.968","1","0"
"linear_scale","dim_order","2201","7","0.8","0.505519","241.165","1","0"
"linear_scale","dim_order","2201","8","0.8","0.528862","382.017","1","0"
"linear_scale","dim_order","2201","9","0.8","0.545958","537.321","1","0"
"linear_scale","dim_order","2202","0","0.1","0.100481","10.9771","1","0"
"linear_scale","dim_order","2202","1","0.2","0.149352","11.0295","1","0"
"linear_scale","dim_order","2202","2","0.3","0.300963","11.1554","1","0"
"linear_scale","dim_order","2202","3","0.4","0.349556","11.2645","1","0"
"linear_scale","dim_order","2202","4","0.5","0.399469","13.9408","1","0"
"linear_scale","dim_order","2202","5","0.6","0.437389","45.7287","1","0"
"linear_scale","dim_order","2202","6","0.7","0.471422","124.715","1","0"
"linear_scale","dim_order","2202","7","0.8","0.504296","237.158","1","0"
"linear_scale","dim_order","2202","8","0.8","0.527619","375.578","1","0"
"linear_scale","dim_order","2202","9","0.8","0.544491","530.466","1","0"
"linear_scale","dim_order","2203","0","0.1","0.100037","10.967","1","0"
"linear_scale","dim_order","2203","1","0.2","0.149444","11.0377","1","0"
"linear_scale","dim_order","2203","2","0.3","0.302481","11.1379","1","0"
"linear_scale","dim_order","2203","3","0.4","0.349222","11.2947","1","0"
"linear_scale","dim_order","2203","4","0.5","0.399099","14.2618","1","0"
"linear_scale","dim_order","2203","5","0.6","0.439111","43.5334","1","0"
"linear_scale","dim_order","2203","6","0.7","0.474156","120.966","1","0"
"linear_scale","dim_order","2203","7","0.8","0.506136","233.575","1","0"
"linear_scale","dim_order","2203","8","0.8","0.528529","373.551","1","0"
"linear_scale","dim_order","2203","9","0.8","0.546074","528.366","1","0"
"linear_scale","racke_tree","2201","0","0.1","0.0992593","13.1269","0","1"
"linear_scale","racke_tree","2201","1","0.2","0.1505","13.221","0","1"
"linear_scale","racke_tree","2201","2","0.3","0.296481","13.3434","0","1"
"linear_scale","racke_tree","2201","3","0.4","0.348704","13.4524","0","1"
"linear_scale","racke_tree","2201","4","0.5","0.400123","13.5609","0","1"
"linear_scale","racke_tree","2201","5","0.6","0.450389","13.6884","0","1"
"linear_scale","racke_tree","2201","6","0.7","0.500007","13.8521","0","1"
"linear_scale","racke_tree","2201","7","0.8","0.550704","14.0913","0","1"
"linear_scale","racke_tree","2201","8","0.8","0.586169","14.2248","0","1"
"linear_scale","racke_tree","2201","9","0.8","0.613528","14.3266","0","1"
"linear_scale","racke_tree","2202","0","0.1","0.100407","13.052","0","1"
"linear_scale","racke_tree","2202","1","0.2","0.149259","13.1607","0","1"
"linear_scale","racke_tree","2202","2","0.3","0.300889","13.3436","0","1"
"linear_scale","racke_tree","2202","3","0.4","0.3495","13.4316","0","1"
"linear_scale","racke_tree","2202","4","0.5","0.400099","13.5488","0","1"
"linear_scale","racke_tree","2202","5","0.6","0.449102","13.6774","0","1"
"linear_scale","racke_tree","2202","6","0.7","0.498237","13.8308","0","1"
"linear_scale","racke_tree","2202","7","0.8","0.548759","14.0585","0","1"
