"model","model_title","routing","phase_index","average_load","accepted_rate_avg","avg_packet_latency_avg","xy_fraction_avg","racke_fraction_avg"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","0","0.1","0.0999381","10.9991333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","1","0.2","0.149796333333333","11.054","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2","0.3","0.299975","11.1409","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","3","0.4","0.349185333333333","11.2900333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","4","0.5","0.399168666666667","14.8485333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","5","0.6","0.438247","46.035","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","6","0.7","0.472802666666667","125.216333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","7","0.8","0.505317","237.299333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","8","0.8","0.528336666666667","377.048666666667","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","9","0.8","0.545507666666667","532.051","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","0","0.1","0.0998394","13.0786666666667","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","1","0.2","0.149697333333333","13.1810666666667","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2","0.3","0.299901","13.3494","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","3","0.4","0.349136","13.4472","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","4","0.5","0.399835333333333","13.5597333333333","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","5","0.6","0.45","13.6904666666667","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","6","0.7","0.499567666666667","13.8458333333333","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","7","0.8","0.549817","14.075","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","8","0.8","0.585525666666667","14.2131666666667","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","9","0.8","0.61246","14.3078","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","0","0.1","0.0999381","10.9991333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","1","0.2","0.149796333333333","11.054","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","2","0.3","0.299975","11.1409","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","3","0.4","0.349185333333333","11.2900333333333","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","4","0.5","0.399234666666667","14.8615333333333","0.997034","0.00296599999999999"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","5","0.6","0.448818","23.6495666666667","0.761108333333333","0.238891666666667"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","6","0.7","0.498822333333333","29.4426666666667","0.55961","0.44039"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","7","0.8","0.547501666666667","36.9209666666667","0.35334","0.64666"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","8","0.8","0.584236333333333","41.6815333333333","0.297925666666667","0.702074333333333"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","9","0.8","0.61054","44.7037","0.336083","0.663917"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","0","0.1","0.0997283666666667","8","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","1","0.2","0.149","8.21899","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","2","0.3","0.300284","8.89268666666667","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","3","0.4","0.349753","8.95264333333333","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","4","0.5","0.400259","9.41657666666667","1","0"
