"model","model_title","routing","seed","average_loads","flow_peak_rate","accepted_rate","avg_packet_latency","xy_packets","racke_packets","xy_fraction","log_path"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2201","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.606516","4201.72","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\linear_scale_dim_order_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2202","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.605146","4218.77","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\linear_scale_dim_order_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2203","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.606838","4200.42","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\linear_scale_dim_order_s2203.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2201","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.650848","14.438","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\linear_scale_racke_tree_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2202","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.648385","14.3932","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\linear_scale_racke_tree_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2203","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.6507","14.4391","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\linear_scale_racke_tree_s2203.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","2201","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.704394","73.6677","132765","185089","0.417692","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\linear_scale_hybrid_xy_racke_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","2202","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.704641","76.6657","130378","185682","0.41251","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\linear_scale_hybrid_xy_racke_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","2203","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.705752","66.527","132505","186073","0.415926","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\linear_scale_hybrid_xy_racke_s2203.log"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","2201","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8","0.8","0.604095","4278.77","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\random_perm_growth_models_perm_p3_peak_0p8\logs\ordered_fill_dim_order_s2201.log"
